Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,WHH,WHD,WHA,HomeTeamLP,AwayTeamLP,MW,Sezon,H2H_Home,H2H_Away,H2H_Home_pts,H2H_Away_pts
2014-01-26,Fiorentina,Genoa,3,3,D,37,20,20,24,3,3,W,D,W,W,W,W,L,W,L,D,1.36,4.5,9.0,4.0,17.0,23,14,WWW,LLL,9,0
2014-01-26,Inter,Catania,0,0,D,38,13,24,37,0,0,L,D,L,W,L,L,L,W,L,D,1.36,4.5,9.0,9.0,8.0,23,14,WWW,LLL,9,0
2014-01-26,Livorno,Sassuolo,3,1,H,16,21,36,43,0,0,L,L,L,L,L,L,W,L,L,L,2.4,3.0,3.2,18.0,18.0,23,14,W,L,3,0
2014-01-26,Parma,Udinese,1,0,H,31,20,27,31,3,0,W,W,W,D,D,L,L,L,W,L,2.0,3.2,4.0,10.0,5.0,23,14,DLL,DWW,1,7
2014-01-26,Sampdoria,Bologna,1,1,D,24,19,31,35,0,1,L,W,L,D,W,D,D,L,W,L,1.8,3.25,5.0,14.0,13.0,24,14,WDD,LDD,5,2
2014-01-26,Torino,Atalanta,1,0,H,33,21,27,29,3,3,W,D,L,W,W,W,W,L,L,D,1.8,3.25,5.0,16.0,15.0,24,14,WWL,LLW,6,3
2014-01-26,Verona,Roma,1,3,A,34,42,31,10,0,3,L,L,W,W,D,W,W,L,W,D,5.0,3.4,1.75,18.0,6.0,24,14,DLL,DWW,1,7
2014-01-02,Bologna,Udinese,0,2,A,20,20,36,32,1,0,D,D,D,L,W,L,L,L,L,W,2.7,3.0,2.8,13.0,5.0,24,14,DDD,DDD,3,3
2014-01-02,Cagliari,Fiorentina,1,0,H,20,40,31,23,0,1,L,L,L,D,D,D,W,D,W,W,3.3,3.1,2.3,11.0,4.0,24,14,LWD,WLD,4,4
2014-01-02,Milan,Torino,1,1,D,34,34,31,27,3,3,W,W,L,W,L,W,W,D,L,W,1.67,3.3,6.0,3.0,16.0,24,14,WWD,LLD,7,1
2014-02-02,Atalanta,Napoli,3,0,H,21,44,30,23,0,1,L,W,W,L,L,D,D,W,W,D,4.5,3.3,1.85,15.0,2.0,24,14,WLL,LWW,3,6
2014-02-02,Catania,Livorno,3,3,D,13,19,37,37,1,3,D,L,L,W,L,W,L,L,L,L,1.91,3.2,4.33,8.0,18.0,24,14,LLL,WWW,0,9
2014-02-02,Chievo,Lazio,0,2,A,16,27,27,29,1,1,D,L,D,D,L,D,W,D,W,L,3.0,3.0,2.5,12.0,7.0,24,14,LWL,WLW,3,6
2014-02-02,Juventus,Inter,3,1,H,51,38,15,24,1,1,D,W,W,W,W,D,L,D,L,W,1.44,4.0,8.0,1.0,9.0,25,14,LWD,WLD,4,4
2014-02-02,Sassuolo,Verona,1,2,A,22,35,46,34,0,0,L,L,W,L,L,L,L,L,W,W,2.4,3.1,3.1,18.0,18.0,25,14,L,W,0,3
2014-03-02,Genoa,Sampdoria,0,1,A,23,25,27,32,1,1,D,W,L,W,L,D,L,W,L,D,2.7,3.0,2.8,17.0,14.0,25,14,LDW,WDL,4,4
2014-08-02,Fiorentina,Atalanta,2,0,H,40,21,23,30,1,0,D,W,D,W,W,L,W,W,L,L,1.5,3.6,8.0,4.0,15.0,25,14,WWW,LLL,9,0
2014-08-02,Napoli,Milan,3,1,H,44,35,26,32,0,1,L,D,D,W,W,D,W,W,L,W,2.05,3.1,4.0,2.0,3.0,25,14,DDW,DDL,5,2
2014-08-02,Udinese,Chievo,3,0,H,22,16,32,29,3,0,W,L,L,L,L,L,D,L,D,D,1.91,3.1,4.5,5.0,12.0,25,14,DWL,DLW,4,4
2014-09-02,Inter,Sassuolo,1,0,H,39,23,27,48,0,0,L,D,L,D,L,L,L,L,W,L,1.4,4.0,10.0,9.0,18.0,25,14,W,L,3,0
2014-09-02,Lazio,Roma,0,0,D,29,45,29,11,3,1,W,D,W,D,W,D,W,W,W,L,4.0,3.2,2.0,7.0,6.0,25,14,WDL,LDW,4,4
2014-09-02,Livorno,Genoa,0,1,A,22,23,40,28,1,0,D,W,L,L,L,L,D,W,L,W,2.4,3.1,3.1,18.0,17.0,25,14,WDD,LDD,5,2
2014-09-02,Parma,Catania,0,0,D,32,16,27,40,1,1,D,W,W,W,W,D,D,L,L,W,1.57,3.4,7.5,10.0,8.0,26,14,LLD,WWD,1,7
2014-09-02,Sampdoria,Cagliari,1,0,H,26,21,32,31,3,3,W,D,L,W,L,W,L,L,L,D,2.2,3.0,3.6,14.0,11.0,26,14,LLD,WWD,1,7
2014-09-02,Torino,Bologna,1,2,A,35,20,28,38,1,0,D,W,W,D,L,L,D,D,D,L,1.67,3.25,6.5,16.0,13.0,26,14,WDW,LDL,7,1
2014-09-02,Verona,Juventus,2,2,D,37,54,35,16,3,3,W,L,L,L,W,W,D,W,W,W,10.0,4.0,1.4,18.0,1.0,26,14,DLL,DWW,1,7
2014-02-14,Milan,Bologna,1,0,H,35,20,32,38,1,0,D,W,W,L,W,L,D,D,D,L,1.36,4.5,9.0,3.0,13.0,26,14,WWD,LLD,7,1
2014-02-15,Fiorentina,Inter,1,2,A,42,40,24,27,3,3,W,L,D,W,D,W,L,D,L,D,2.15,3.2,3.6,4.0,9.0,26,14,LWL,WLW,3,6
2014-02-16,Atalanta,Parma,0,4,A,24,36,32,27,0,3,L,W,L,W,W,W,D,W,W,W,2.62,2.9,3.0,15.0,10.0,26,14,WLL,LWW,3,6
2014-02-16,Cagliari,Livorno,1,2,A,21,22,32,41,0,0,L,W,L,L,L,L,D,W,L,L,1.8,3.3,5.0,11.0,18.0,26,14,DWD,DLD,5,2
2014-02-16,Catania,Lazio,3,1,H,16,29,40,29,1,1,D,D,D,L,L,D,W,D,W,D,3.4,3.0,2.3,8.0,7.0,26,14,WLL,LWW,3,6
2014-02-16,Genoa,Udinese,3,3,D,24,25,28,32,3,3,W,L,D,W,L,W,W,L,L,L,2.8,3.0,2.7,17.0,5.0,27,14,DWL,DLW,4,4
2014-02-16,Juventus,Chievo,3,1,H,56,16,18,32,1,0,D,W,D,W,W,L,L,D,L,D,1.17,7.0,17.0,1.0,12.0,27,14,WWW,LLL,9,0
2014-02-16,Roma,Sampdoria,3,0,H,48,27,11,32,3,3,W,D,W,W,W,W,W,D,L,W,1.36,4.5,9.5,6.0,14.0,27,14,DLW,DWL,4,4
2014-02-16,Sassuolo,Napoli,0,2,A,23,47,49,27,0,3,L,L,L,L,W,W,L,D,D,W,6.0,3.6,1.62,18.0,2.0,27,14,D,D,1,1
2014-02-17,Verona,Torino,1,3,A,39,36,37,30,1,0,D,W,L,L,L,L,D,W,W,D,2.5,3.1,3.0,18.0,16.0,27,14,LLD,WWD,1,7
2014-02-22,Bologna,Roma,0,1,A,22,48,39,11,3,3,W,L,D,D,D,W,D,W,W,W,6.5,4.2,1.5,13.0,6.0,27,14,WDL,LDW,4,4
2014-02-23,Chievo,Catania,2,0,H,17,19,35,41,0,3,L,L,L,D,L,W,D,D,D,L,2.2,3.0,3.6,12.0,8.0,27,14,LDL,WDW,1,7
2014-02-23,Inter,Cagliari,1,1,D,42,22,28,34,3,0,W,W,L,D,L,L,L,W,L,L,1.44,4.0,8.0,9.0,11.0,27,14,DLD,DWD,2,5
2014-02-23,Juventus,Torino,1,0,H,59,39,19,31,3,3,W,D,W,D,W,W,L,D,W,W,1.3,5.0,11.0,1.0,16.0,27,14,WWW,LLL,9,0
2014-02-23,Lazio,Sassuolo,3,2,H,30,23,32,51,0,0,L,D,W,D,W,L,L,L,L,L,1.5,3.6,8.0,7.0,18.0,28,14,D,D,1,1
2014-02-23,Livorno,Verona,2,3,A,24,40,42,40,3,0,W,L,D,W,L,L,D,W,L,L,2.5,3.0,3.0,18.0,18.0,28,14,L,W,0,3
2014-02-23,Sampdoria,Milan,0,2,A,27,37,35,35,0,3,L,W,W,D,L,W,L,D,W,W,3.1,3.1,2.4,14.0,3.0,28,14,WDL,LDW,4,4
2014-02-23,Udinese,Atalanta,1,1,D,28,24,35,36,1,0,D,W,W,L,L,L,L,W,L,W,1.83,3.2,5.0,5.0,15.0,28,14,DWL,DLW,4,4
2014-02-24,Napoli,Genoa,1,1,D,49,27,27,31,3,1,W,W,L,D,D,D,W,L,D,W,1.3,5.0,11.0,2.0,17.0,28,14,WWW,LLL,9,0
2014-02-24,Parma,Fiorentina,2,2,D,38,43,29,26,1,0,D,W,D,W,W,L,W,L,D,W,2.5,3.0,3.0,10.0,4.0,28,14,DLD,DWD,2,5
2014-01-03,Roma,Inter,0,0,D,49,42,11,28,3,3,W,W,D,W,W,W,W,L,D,L,1.7,3.2,6.0,6.0,9.0,28,14,WDW,LDL,7,1
2014-02-03,Atalanta,Chievo,2,1,H,25,19,37,35,1,3,D,L,L,W,L,W,L,L,L,D,2.1,3.0,4.0,15.0,12.0,28,14,LDW,WDL,4,4
2014-02-03,Cagliari,Udinese,3,0,H,23,29,35,36,1,1,D,L,L,W,L,D,D,W,W,L,2.5,3.0,3.0,11.0,5.0,28,14,LLL,WWW,0,9
2014-02-03,Fiorentina,Lazio,0,1,A,45,33,28,34,1,3,D,L,W,L,D,W,L,D,W,D,1.91,3.2,4.33,4.0,7.0,29,14,WWD,LLD,7,1
2014-02-03,Genoa,Catania,2,0,H,28,19,32,43,1,0,D,D,W,L,D,L,W,D,D,D,2.1,3.1,3.8,17.0,8.0,29,14,LLD,WWD,1,7
2014-02-03,Livorno,Napoli,1,1,D,26,50,45,28,0,1,L,W,L,D,W,D,W,W,L,D,6.5,3.5,1.6,18.0,2.0,29,14,LLL,WWW,0,9
2014-02-03,Milan,Juventus,0,2,A,39,60,35,19,3,3,W,W,L,D,W,W,W,D,W,D,4.0,3.0,2.1,3.0,1.0,29,14,WLL,LWW,3,6
2014-02-03,Sassuolo,Parma,0,1,A,25,39,54,29,0,3,L,L,L,L,L,W,D,W,D,W,3.5,3.1,2.2,18.0,10.0,29,14,L,W,0,3
2014-02-03,Torino,Sampdoria,0,2,A,39,27,32,37,0,0,L,W,L,D,W,L,L,W,W,D,1.95,3.1,4.33,16.0,14.0,29,14,DDD,DDD,3,3
2014-02-03,Verona,Bologna,0,0,D,43,22,42,41,3,0,W,L,D,W,L,L,L,W,L,D,2.0,3.2,4.0,18.0,13.0,29,14,LLW,WWL,3,6
2014-08-03,Catania,Cagliari,1,1,D,19,23,43,35,0,1,L,W,D,D,D,D,L,L,W,L,2.3,3.2,3.2,8.0,11.0,29,14,DDL,DDW,2,5
2014-08-03,Udinese,Milan,1,0,H,29,39,39,37,0,0,L,D,D,W,W,L,W,W,L,D,2.9,3.1,2.5,5.0,3.0,29,14,WLL,LWW,3,6
2014-09-03,Bologna,Sassuolo,0,0,D,22,25,41,55,1,0,D,L,L,W,L,L,L,L,L,L,2.0,3.2,4.0,13.0,18.0,30,14,L,W,0,3
2014-09-03,Chievo,Genoa,2,1,H,20,30,37,32,0,3,L,W,L,L,L,W,D,D,W,L,2.2,3.0,3.6,12.0,17.0,30,14,WLL,LWW,3,6
